Days to crisis,S&P 500_2020-02-20,NIKKEI_2024-08-05,Bitcoin_10-10-2025,Bitcoin_2026-06-03
20,-0.306981136,,,
10,-0.372919028,,,
0,-0.432672202,,,
-1,-0.4293631,-0.129369591,0.03721647,-0.021549649
-3,-0.429709748,-0.022273682,0.068472233,-0.003217704
-5,-0.431137684,-0.105853529,0.075535621,0.00311735
-10,-0.415062507,-0.146325143,0.109256987,0.001167352
-15,-0.413140504,-0.150958092,0.155684308,-0.007200112
-20,-0.414199705,-0.359845134,0.145745254,-0.029867184
-30,-0.437006415,-0.180217465,0.14951626,-0.009856158
-40,-0.414075017,-0.091150788,0.171762411,-0.018658681
-50,-0.384613682,-0.076113192,0.131169828,-0.036884037
-60,-0.378166309,-0.110355842,0.110930534,-0.038080975
-100,-0.254675105,,,
-200,-0.03133741,,,
-300,0.029352791,,,
-400,0.085402138,,,
-500,0.106582633,,,
