Days to crisis,S&P 500_2020-02-20,NIKKEI_2024-08-05,Bitcoin_10-10-2025,Bitcoin_2026-06-03
20,1.428011023,,,
10,1.537287451,,,
0,1.611100559,,,
-1,1.613468426,1.999994297,1.662682852,1.658941067
-3,1.615069954,1.999924858,1.658082213,1.663270522
-5,1.615710335,1.999994372,1.663597448,1.671257942
-10,1.629394321,1.999997883,1.641800666,1.670826291
-15,1.599710168,1.999997945,1.640389556,1.669358947
-20,1.600842765,1.999996339,1.6540102,1.663014516
-30,1.601290515,1.999999039,1.658373598,1.671869173
-40,1.600505961,1.999994494,1.680165542,1.673906422
-50,1.595052712,1.999994565,1.69771264,1.672973931
-60,1.59366499,1.999998012,1.685745993,1.671820033
-100,1.546224284,,,
-200,1.380283684,,,
-300,1.42080528,,,
-400,1.488481478,,,
-500,1.52946334,,,
